,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date,Expected US Yield,Excess Yield,Z-Spread,Excess Yield Bucket
306,ROMANIA (REPUBLIC OF) MTN RegS,Sovereign,Fixed Income,"22,551,561.11",0.15,"22,551,561.11","22,652,000.00",77586TAE6,US77586TAE64,BJ3V325,99.1,Romania,-,USD,11.17,6.21,1.0,"Jan 22, 2044",6.13,11.18,-,6.21,11.18,6.21,USD,"Jan 22, 2014","Jan 22, 2014",3.876056,2.333944,1.9941851184517168,2-3
312,PERU (REPUBLIC OF),Sovereign,Fixed Income,"22,248,644.53",0.14,"22,248,644.53","28,037,000.00",715638DS8,US715638DS81,BMV3391,77.91,Peru,-,USD,11.74,5.32,1.0,"Mar 11, 2041",3.3,11.76,-,5.32,11.76,5.32,USD,"Mar 10, 2021","Mar 10, 2021",3.8970320000000003,1.422968,1.8035313260636157,1-2
334,INDONESIA (REPUBLIC OF) MTN RegS,Sovereign,Fixed Income,"21,283,443.85",0.14,"21,283,443.85","20,895,000.00",-,USY20721BM04,BV9RNJ8,101.38,Indonesia,-,USD,12.48,5.02,1.0,"Jan 15, 2045",5.13,12.57,-,5.02,12.57,5.02,USD,"Jan 15, 2015","Jan 15, 2015",3.924264,1.0957359999999996,0.7815953320519293,1-2
343,SAUDI ARABIA (KINGDOM OF) MTN RegS,Sovereign,Fixed Income,"20,975,626.81",0.14,"20,975,626.81","24,481,000.00",-,XS2159975882,-,84.22,Saudi Arabia,-,USD,16.07,5.52,1.0,"Apr 22, 2060",4.5,15.86,-,5.52,15.86,5.52,USD,"Apr 22, 2020","Apr 22, 2020",4.056376,1.4636239999999994,1.8070551767496636,1-2
344,PETRONAS CAPITAL LTD MTN RegS,Agency,Fixed Income,"20,921,761.70",0.14,"20,921,761.70","21,939,000.00",-,USY68856AW66,-,93.79,Malaysia,-,USD,16.27,5.18,1.0,"Apr 21, 2060",4.8,16.15,-,5.18,16.15,5.18,USD,"Apr 21, 2020","Apr 21, 2020",4.063736,1.1162640000000001,1.1573317970725843,1-2
349,CHILE (REPUBLIC OF),Sovereign,Fixed Income,"20,675,457.06",0.13,"20,675,457.06","20,669,991.00",168863EA2,US168863EA21,-,99.38,Chile,-,USD,14.53,5.37,1.0,"Jan 05, 2054",5.33,14.62,-,5.37,14.62,5.37,USD,"Jul 05, 2023","Jul 05, 2023",3.999704,1.3702960000000002,1.1849316442078637,1-2
350,MEXICO (UNITED MEXICAN STATES) MTN,Sovereign,Fixed Income,"20,664,725.20",0.13,"20,664,725.20","21,768,000.00",91086QBE7,US91086QBE70,BJ0WYL7,94.5,Mexico,-,USD,11.78,6.02,1.0,"Jan 21, 2045",5.55,11.81,-,6.02,11.81,6.02,USD,"Jan 21, 2014","Jan 21, 2014",3.898504,2.1214959999999996,1.9915234446349945,2-3
358,ABU DHABI CRUDE OIL PIPELINE LLC RegS,Agency,Fixed Income,"19,851,520.31",0.13,"19,851,520.31","21,403,000.00",-,XS1709535097,BD6JB75,92.13,United Arab Emirates,-,USD,10.33,5.37,1.0,"Nov 02, 2047",4.6,10.38,-,5.37,10.38,5.37,USD,"Nov 02, 2017","Nov 02, 2017",3.8451440000000003,1.5248559999999998,1.3860626884775986,1-2
374,CHILE (REPUBLIC OF),Sovereign,Fixed Income,"18,910,767.87",0.12,"18,910,767.87","28,458,000.00",168863DQ8,US168863DQ81,BMDML47,66.22,Chile,-,USD,18.29,5.17,1.0,"Jan 22, 2061",3.1,18.08,-,5.17,18.08,5.17,USD,"Jan 22, 2021","Jan 22, 2021",4.138071999999999,1.0319280000000006,1.9589734327957007,1-2
376,ABU DHABI (EMIRATE OF) MTN RegS,Sovereign,Fixed Income,"18,869,022.92",0.12,"18,869,022.92","17,550,000.00",-,XS2811094213,-,105.85,United Arab Emirates,-,USD,14.72,5.11,1.0,"Apr 30, 2054",5.5,14.74,-,5.11,14.74,5.11,USD,"Apr 30, 2024","Apr 30, 2024",4.006696,1.1033040000000005,0.7262044018782541,1-2
